序號,日期,公司,注音,紀念品,徵求人(格式一)
06230,2017/06/16,國喬,ㄍ,香皂禮盒,松永投資
06231,2017/06/16,力麒,ㄌ,馬克杯,台新銀
06232,2017/06/16,康和證,ㄎ,南僑水晶皂,瑞興商銀
06233,2017/06/16,中橡,ㄓ,環保餐具組,中信託
06234,2017/06/16,冠德,ㄍ,南僑洗衣精,福邦證
06235,2017/06/16,綠能,ㄌ,7-11 50元,富邦證
06236,2017/06/16,和益1,ㄏ,無,永豐金
06237,2017/06/16,光洋科,ㄍ,梅森瓶2入,群益金鼎
06238,2017/06/16,興農,ㄒ,保鮮膜2支,永豐金
06239,2017/06/16,久元,ㄐ,全家50元,汪秉龍
06240,2017/06/16,華晶科,ㄏ,康寧盤子,宏遠證
06241,2017/06/16,精誠,ㄐ,袖套,元大證
06242,2017/06/16,東洋,ㄉ,7-11 88元,群益金鼎
06243,,,,,
06244,2017/06/16,信邦,ㄒ,LED抬燈,台新銀
06245,2017/06/16,國統國際,ㄍ,玻璃保鮮盒,福邦證
06246,2017/06/16,倫飛,ㄌ,大碗杯,台新銀
06247,2017/06/16,銘異,ㄇ,全家50元,謝錦興
06248,2017/06/16,立凱-KY,ㄌ,梅森瓶,宏遠證
06249,2017/06/16,建錩,ㄐ,全家50元,日盛證
06250,2017/06/16,友勁,ㄧ,米一包,中信託
06251,2017/06/16,國化,ㄍ,牙膏,富邦證
06252,2017/06/16,宏益,ㄏ,香皂,群益金鼎
06253,2017/06/16,佳醫,ㄐ,洗髮精,亞東證
06254,2017/06/16,佳邦,ㄐ,環保背包,康和證
06255,2017/06/16,均豪,ㄐ,包裝米,凱基證
06256,2017/06/16,陽程,ㄧ,全家50元,富邦證
06257,2017/06/16,創惟,ㄔ,7-11 50元,永豐金
06258,2017/06/16,位速,ㄨ,全家50元,元大銀行
06259,2017/06/16,瀚荃,ㄏ,身體乳,華南永昌
06260,2017/06/16,加百裕,ㄐ,旅行收納包,亞東證
06261,2017/06/16,尚立,ㄕ,全家50元,群益金鼎
06262,2017/06/16,廣穎,ㄍ,全家35元,宏遠證
06263,2017/06/16,點晶3,ㄉ,無,永豐金
06264,2017/06/16,鳳凰3,ㄈ,無,富邦證
06265,2017/06/16,聯一光,ㄌ,環保餐具組,第一金
06266,2017/06/16,長天,ㄔ,陶瓷刀組,兆豐證
06267,2017/06/16,祥業,ㄒ,全家50元,宏遠證
06268,2017/06/19,大聯大,ㄉ,全家50元,康和證
06269,2017/06/19,嘉泥,ㄐ,玻璃油壺,群益金鼎
06270,2017/06/19,美亞3,ㄇ,無,國票證
06271,2017/06/19,系統,ㄒ,手機支架,永豐金
06272,2017/06/19,南仁湖,ㄋ,洗衣酵素,富邦證
06273,2017/06/19,合一,ㄏ,頂級四物鐵,元富證
06274,2017/06/19,恩德,ㄣ,椰子油or特級橄欖油,永豐金
06275,2017/06/19,福華,ㄈ,小夜燈,中信託
06276,2017/06/19,根基,ㄍ,南僑洗衣精,福邦證
06277,2017/06/19,精剛,ㄐ,茶樹洗髮精,凱基證
06278,2017/06/19,力新,ㄌ,清潔用品,群益金鼎
06279,2017/06/19,合世,ㄏ,餐具組,亞東證
06280,2017/06/20,國產,ㄍ,洗手露,元大證
06281,2017/06/20,元太,ㄩ,旅行清潔品,凱基證
06282,2017/06/20,三陽,ㄙ,毛巾,國票證
06283,2017/06/20,燿華,ㄧ,五色筷,福邦證
06284,2017/06/20,精成科,ㄐ,米350g,宏遠證
06285,2017/06/20,昱晶,ㄩ,日是缽碗,中鼎工程
06286,2017/06/20,鈺創,ㄩ,全家50元,中信託
06287,2017/06/20,福壽,ㄈ,芥花油,國票證
06288,2017/06/20,東台,ㄉ,7-11 100元,華南永昌
06289,2017/06/20,杏輝,ㄒ,化妝品,永豐金
06290,2017/06/20,華孚,ㄏ,茶葉,永豐金
06291,2017/06/20,雷虎,ㄌ,45元咖啡卡,凱基證
06292,2017/06/20,全科,ㄑ,香皂2入,日盛證
06293,2017/06/20,富爾特,ㄈ,全家50元,台新銀
06294,2017/06/20,漢平,ㄏ,7-11 50元,日盛銀
06295,2017/06/20,波若威,ㄆ,7-11 50元,永豐金
06296,2017/06/20,鈦昇,ㄊ,工具組,台新銀
06297,2017/06/20,鑫品生醫,ㄒ,全家50元,台新銀
06298,2017/06/20,虹冠電,ㄏ,7-11 100元,第一金
06299,2017/06/21,宏碁,ㄏ,背包束袋,施振榮
06300,2017/06/21,中工,ㄓ,廚房二件組,康和證
06301,2017/06/21,晶電,ㄐ,自拍棒,李秉傑
06302,2017/06/21,光磊,ㄍ,森田藥粧禮盒,亞東證
06303,2017/06/21,康舒,ㄎ,不繡鋼杯,凱基證
06304,2017/06/21,益航,ㄧ,飛狼包,台新銀
06305,2017/06/21,國碩,ㄍ,全家50元,春如
06306,2017/06/21,旭晶能源,ㄒ,熊本熊提袋,第一金
06307,2017/06/21,亞力,ㄧ,陶瓷刀組,元大銀行
06308,2017/06/21,東友,ㄉ,全家50元,元大證
06309,,,,,
06310,2017/06/21,中探針,ㄓ,全家35元,凱基證
06311,2017/06/22,力晶,ㄌ,全家100元,群益金鼎
06312,2017/06/22,佳世達,ㄐ,工具組,中信託
06313,2017/06/22,高雄銀3,ㄍ,無,高銀工會
06314,2017/06/22,和桐,ㄏ,環保洗碗精,永豐金
06315,2017/06/22,日勝生,ㄖ,保養品禮盒,凱基證
06316,2017/06/22,宏盛,ㄏ,米一包,永豐金
06317,2017/06/22,富喬,ㄈ,玻璃瓶,群益金鼎
06318,2017/06/22,建國3,ㄐ,無,亞東證
